,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057956,x1 * 3.3369555,2.6593040557229584,x1*3.3369555,PySRFunction(X=>x1*3.3369555)
2,7,0.00073516724,((x0 * 0.029691886) + x1) * 3.3373334,0.12369921656846662,(x0*0.029691886 + x1)*3.3373334,PySRFunction(X=>(x0*0.029691886 + x1)*3.3373334)
3,9,0.0007100956,(((x0 * 0.031879764) + x1) + 0.0016370162) * 3.3421395,0.01734920094330965,(x0*0.031879764 + x1 + 0.0016370162)*3.3421395,PySRFunction(X=>(x0*0.031879764 + x1 + 0.0016370162)*3.3421395)
4,11,0.0004974639,(x1 + (((0.48275054 + x0) * 0.08869453) * x0)) * 3.3392212,0.17793830885335152,((x0 + 0.48275054)*0.08869453*x0 + x1)*3.3392212,PySRFunction(X=>((x0 + 0.48275054)*0.08869453*x0 + x1)*3.3392212)
5,13,0.00030188228,(x1 + ((x0 * ((x1 + x0) + 0.4346858)) * 0.10241224)) * 3.3547747,0.24974292554684374,(x0*(x0 + x1 + 0.4346858)*0.10241224 + x1)*3.3547747,PySRFunction(X=>(x0*(x0 + x1 + 0.4346858)*0.10241224 + x1)*3.3547747)
6,15,0.00015380334,((x1 + ((x0 * 0.15605396) * ((x0 + 0.30139107) + x1))) + -0.005203295) * 3.3624043,0.33718118335369174,(x0*0.15605396*(x0 + x1 + 0.30139107) + x1 - 0.005203295)*3.3624043,PySRFunction(X=>(x0*0.15605396*(x0 + x1 + 0.30139107) + x1 - 0.005203295)*3.3624043)
7,17,0.00014750431,((x1 + ((x0 * 0.13078777) * (x1 + ((x0 + 0.27438703) * 1.3599507)))) * 3.3539398) + -0.020397149,0.020908688829373093,(x0*0.13078777*(x1 + (x0 + 0.27438703)*1.3599507) + x1)*3.3539398 - 0.020397149,PySRFunction(X=>(x0*0.13078777*(x1 + (x0 + 0.27438703)*1.3599507) + x1)*3.3539398 - 0.020397149)
8,19,0.00014064772,((((((x2 + 1.6230239) * (x0 + x1)) + 0.55423146) * (x0 * 0.08351833)) + x1) * 3.366549) + -0.016629305,0.023799535669475947,(((x0 + x1)*(x2 + 1.6230239) + 0.55423146)*x0*0.08351833 + x1)*3.366549 - 0.016629305,PySRFunction(X=>(((x0 + x1)*(x2 + 1.6230239) + 0.55423146)*x0*0.08351833 + x1)*3.366549 - 0.016629305)
9,21,0.00013952129,-0.016629305 + (((0.08351833 * ((((x2 + 1.6230239) * ((0.9176106 * x1) + x0)) + 0.55423146) * x0)) + x1) * 3.366549),0.004020559124417865,(0.08351833*x0*((x0 + 0.9176106*x1)*(x2 + 1.6230239) + 0.55423146) + x1)*3.366549 - 0.016629305,PySRFunction(X=>(0.08351833*x0*((x0 + 0.9176106*x1)*(x2 + 1.6230239) + 0.55423146) + x1)*3.366549 - 0.016629305)
10,23,0.00013458499,((x1 + (x1 + (x0 * ((((x0 + x1) * (x2 + 2.4664109)) + (x0 + x5)) * 0.09718536)))) + -0.012366735) * 1.6787268,0.018010655356823325,(x0*(x0 + x5 + (x0 + x1)*(x2 + 2.4664109))*0.09718536 + x1 + x1 - 0.012366735)*1.6787268,PySRFunction(X=>(x0*(x0 + x5 + (x0 + x1)*(x2 + 2.4664109))*0.09718536 + x1 + x1 - 0.012366735)*1.6787268)
11,25,0.00013371349,((x1 + (x1 + ((((x2 + 2.2148683) * (x0 + (x1 * 1.1709849))) + (x0 + 0.96963936)) * (x0 * 0.102252804)))) + -0.012066076) * 1.6810514,0.0032482594203229772,((x0 + (x0 + x1*1.1709849)*(x2 + 2.2148683) + 0.96963936)*x0*0.102252804 + x1 + x1 - 0.012066076)*1.6810514,PySRFunction(X=>((x0 + (x0 + x1*1.1709849)*(x2 + 2.2148683) + 0.96963936)*x0*0.102252804 + x1 + x1 - 0.012066076)*1.6810514)
12,27,0.00013005044,((((x0 * 0.10105824) * ((x0 + (x0 + 0.93860245)) + ((x2 + 1.1775463) * (x0 + (x1 + x1))))) + (x1 + x1)) + -0.011451276) * 1.6803074,0.013888500673412239,(x0*0.10105824*(x0 + x0 + (x2 + 1.1775463)*(x0 + x1 + x1) + 0.93860245) + x1 + x1 - 0.011451276)*1.6803074,PySRFunction(X=>(x0*0.10105824*(x0 + x0 + (x2 + 1.1775463)*(x0 + x1 + x1) + 0.93860245) + x1 + x1 - 0.011451276)*1.6803074)
13,31,0.00012713908,(((((x0 + 1.000852) + x0) * 0.7257693) + ((((x1 + x0) + -0.051821828) + x1) * (x2 + 0.75856435))) * (x0 * 0.24017341)) + (((x1 + x1) + -0.011602292) * 1.6797788),0.0056601924596576935,((x2 + 0.75856435)*(x0 + x1 + x1 - 0.051821828) + (x0 + x0 + 1.000852)*0.7257693)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788,PySRFunction(X=>((x2 + 0.75856435)*(x0 + x1 + x1 - 0.051821828) + (x0 + x0 + 1.000852)*0.7257693)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788)
14,33,0.000121433135,((x0 * ((((x5 + x0) + x0) * 0.7257693) + (((x2 * -0.2805609) + x0) + ((x2 + 0.7964107) * (x1 + x1))))) * 0.24017341) + ((x1 + (x1 + -0.011602292)) * 1.6797788),0.022958911644312602,x0*(x0 + x2*(-0.2805609) + (x1 + x1)*(x2 + 0.7964107) + (x0 + x0 + x5)*0.7257693)*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788,PySRFunction(X=>x0*(x0 + x2*(-0.2805609) + (x1 + x1)*(x2 + 0.7964107) + (x0 + x0 + x5)*0.7257693)*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788)
15,35,0.00012106627,(((((x6 + (x0 + x0)) * 0.7257693) + ((x7 + (x2 + -0.23301135)) * (x1 + x1))) + ((x2 * -0.2781734) + x0)) * (x0 * 0.24017341)) + (((x1 + x1) + -0.011602292) * 1.6797788),0.001512850226924068,(x0 + x2*(-0.2781734) + (x1 + x1)*(x2 + x7 - 0.23301135) + (x0 + x0 + x6)*0.7257693)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788,PySRFunction(X=>(x0 + x2*(-0.2781734) + (x1 + x1)*(x2 + x7 - 0.23301135) + (x0 + x0 + x6)*0.7257693)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788)
16,37,0.000120431156,(((((x7 + -0.23301135) + x2) * (x1 + x1)) + ((((x6 + x0) + x0) * 0.7257693) + (((x2 * -0.29024193) + 0.012068534) + x0))) * (x0 * 0.24017341)) + (((x1 + x1) + -0.011602292) * 1.6797788),0.0026299057292410474,(x0 + x2*(-0.29024193) + (x1 + x1)*(x2 + x7 - 0.23301135) + (x0 + x0 + x6)*0.7257693 + 0.012068534)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788,PySRFunction(X=>(x0 + x2*(-0.29024193) + (x1 + x1)*(x2 + x7 - 0.23301135) + (x0 + x0 + x6)*0.7257693 + 0.012068534)*x0*0.24017341 + (x1 + x1 - 0.011602292)*1.6797788)
