,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057956,x1 * 3.3371613,2.6593040557229584,x1*3.3371613,PySRFunction(X=>x1*3.3371613)
2,7,0.00073515123,(x1 * 3.3369215) + (x0 * 0.099387355),0.12370466096718948,x0*0.099387355 + x1*3.3369215,PySRFunction(X=>x0*0.099387355 + x1*3.3369215)
3,9,0.00070955005,0.0051611247 + (((x0 * 0.031700965) + x1) * 3.333249),0.01772259820122903,(x0*0.031700965 + x1)*3.333249 + 0.0051611247,PySRFunction(X=>(x0*0.031700965 + x1)*3.333249 + 0.0051611247)
4,11,0.0004972552,(x0 * ((x0 * 0.29611126) + 0.14280449)) + (x1 * 3.3369215),0.17776383077599972,x0*(x0*0.29611126 + 0.14280449) + x1*3.3369215,PySRFunction(X=>x0*(x0*0.29611126 + 0.14280449) + x1*3.3369215)
5,13,0.00030189837,(x0 * (((x0 + x1) + 0.43564662) * 0.3417493)) + (x1 * 3.355106),0.24950646881815602,x0*(x0 + x1 + 0.43564662)*0.3417493 + x1*3.355106,PySRFunction(X=>x0*(x0 + x1 + 0.43564662)*0.3417493 + x1*3.355106)
6,15,0.00015358828,((x1 + ((x0 * ((x1 + 0.30346018) + x0)) * 0.15590534)) * 3.3624697) + -0.016792072,0.33790746092017176,(x0*(x0 + x1 + 0.30346018)*0.15590534 + x1)*3.3624697 - 0.016792072,PySRFunction(X=>(x0*(x0 + x1 + 0.30346018)*0.15590534 + x1)*3.3624697 - 0.016792072)
7,17,0.00014671862,((((((x1 * 0.83692926) + (x0 + 0.28052756)) * 0.1722997) * x0) + x1) * 3.3631768) + -0.018681142,0.022879456462915344,((x0 + x1*0.83692926 + 0.28052756)*0.1722997*x0 + x1)*3.3631768 - 0.018681142,PySRFunction(X=>((x0 + x1*0.83692926 + 0.28052756)*0.1722997*x0 + x1)*3.3631768 - 0.018681142)
8,19,0.00014594899,((x1 + -0.0057286187) + (x0 * ((((x0 + x3) + (x1 * 0.7774486)) * 0.1758994) + -0.12697013))) * 3.3586407,0.0026297128476099256,(x0*((x0 + x1*0.7774486 + x3)*0.1758994 - 0.12697013) + x1 - 0.0057286187)*3.3586407,PySRFunction(X=>(x0*((x0 + x1*0.7774486 + x3)*0.1758994 - 0.12697013) + x1 - 0.0057286187)*3.3586407)
9,21,0.00014589888,(3.3586407 + 0.0017660585) * ((x1 + -0.0057286187) + (x0 * ((0.1758994 * (x0 + (x3 + (x1 * 0.7774486)))) + -0.12697013))),0.00017169904475377128,(0.0017660585 + 3.3586407)*(x0*(0.1758994*(x0 + x1*0.7774486 + x3) - 0.12697013) + x1 - 0.0057286187),PySRFunction(X=>(0.0017660585 + 3.3586407)*(x0*(0.1758994*(x0 + x1*0.7774486 + x3) - 0.12697013) + x1 - 0.0057286187))
10,23,0.00014583566,(-0.0057286187 + (x1 + (x0 * (((((x1 * 0.7710326) + (x3 + x0)) + (x0 * -0.016004402)) * 0.1758994) + -0.12697013)))) * 3.3586407,0.00021670386026152377,(x0*((x0*(-0.016004402) + x0 + x1*0.7710326 + x3)*0.1758994 - 0.12697013) + x1 - 0.0057286187)*3.3586407,PySRFunction(X=>(x0*((x0*(-0.016004402) + x0 + x1*0.7710326 + x3)*0.1758994 - 0.12697013) + x1 - 0.0057286187)*3.3586407)
11,25,0.00014551468,(((x0 * ((0.1758994 * ((x1 * 0.7710326) + ((x0 + ((x1 * x1) * -0.12697013)) + x3))) + -0.12697013)) + x1) + -0.0057286187) * 3.3586407,0.0011016981475358509,(x0*(0.1758994*(x0 + x1*x1*(-0.12697013) + x1*0.7710326 + x3) - 0.12697013) + x1 - 0.0057286187)*3.3586407,PySRFunction(X=>(x0*(0.1758994*(x0 + x1*x1*(-0.12697013) + x1*0.7710326 + x3) - 0.12697013) + x1 - 0.0057286187)*3.3586407)
12,27,0.00014545118,0.029590093 + (x5 + (((x0 * (((((x1 * 0.7853771) + x2) + (((x0 * x0) * 0.18863219) + x0)) * 0.18125884) + -0.13356915)) + x1) * 3.3595035)),0.00021823866555385632,x5 + (x0*((x0*x0*0.18863219 + x0 + x1*0.7853771 + x2)*0.18125884 - 0.13356915) + x1)*3.3595035 + 0.029590093,PySRFunction(X=>x5 + (x0*((x0*x0*0.18863219 + x0 + x1*0.7853771 + x2)*0.18125884 - 0.13356915) + x1)*3.3595035 + 0.029590093)
13,29,0.00014503885,(x5 + (((x0 * ((((((x1 * 0.7853771) + x2) + (((x0 * x0) + -0.022855569) * 0.18863219)) + x0) * 0.18125884) + -0.13356915)) + x1) * 3.3595035)) + 0.029590093,0.0014194300469392396,x5 + (x0*((x0 + x1*0.7853771 + x2 + (x0*x0 - 0.022855569)*0.18863219)*0.18125884 - 0.13356915) + x1)*3.3595035 + 0.029590093,PySRFunction(X=>x5 + (x0*((x0 + x1*0.7853771 + x2 + (x0*x0 - 0.022855569)*0.18863219)*0.18125884 - 0.13356915) + x1)*3.3595035 + 0.029590093)
