,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.001205795,x1 * 3.3370574,2.6593043045214073,x1*3.3370574,PySRFunction(X=>x1*3.3370574)
2,7,0.00073527935,(x0 * 0.09816494) + (x1 * 3.337669),0.1236609710973925,x0*0.09816494 + x1*3.337669,PySRFunction(X=>x0*0.09816494 + x1*3.337669)
3,9,0.00070889364,(x0 * 0.10475319) + ((x1 + 0.0015532583) * 3.337669),0.018272496928988188,x0*0.10475319 + (x1 + 0.0015532583)*3.337669,PySRFunction(X=>x0*0.10475319 + (x1 + 0.0015532583)*3.337669)
4,11,0.00049908494,(((x0 * 0.28180134) + 0.13520953) * x0) + (x1 * 3.3358068),0.17546459973398443,x0*(x0*0.28180134 + 0.13520953) + x1*3.3358068,PySRFunction(X=>x0*(x0*0.28180134 + 0.13520953) + x1*3.3358068)
5,13,0.0003028368,(x1 * 3.353576) + (x0 * (0.15255952 + ((x1 + x0) * 0.35635576))),0.24979112758155686,x0*((x0 + x1)*0.35635576 + 0.15255952) + x1*3.353576,PySRFunction(X=>x0*((x0 + x1)*0.35635576 + 0.15255952) + x1*3.353576)
6,15,0.00015473085,-0.017894767 + ((x1 + ((((x0 + x1) * 0.15547946) + 0.047142826) * x0)) * 3.3641229),0.33575344530837636,(x0*((x0 + x1)*0.15547946 + 0.047142826) + x1)*3.3641229 - 0.017894767,PySRFunction(X=>(x0*((x0 + x1)*0.15547946 + 0.047142826) + x1)*3.3641229 - 0.017894767)
7,17,0.00014785005,-0.017813517 + ((x1 + (x0 * ((0.16402139 * ((x1 * 0.8452559) + x0)) + 0.047142826))) * 3.3641229),0.022744285723830488,(x0*(0.16402139*(x0 + x1*0.8452559) + 0.047142826) + x1)*3.3641229 - 0.017813517,PySRFunction(X=>(x0*(0.16402139*(x0 + x1*0.8452559) + 0.047142826) + x1)*3.3641229 - 0.017813517)
8,21,0.00013854481,(3.3624957 * (x1 + ((((x4 * -0.048562597) + (((x1 + x0) * -1.6056378) + -0.5246418)) * -0.09832258) * x0))) + -0.017829765,0.016251193318147304,3.3624957*((x4*(-0.048562597) + (x0 + x1)*(-1.6056378) - 0.5246418)*(-0.09832258)*x0 + x1) - 0.017829765,PySRFunction(X=>3.3624957*((x4*(-0.048562597) + (x0 + x1)*(-1.6056378) - 0.5246418)*(-0.09832258)*x0 + x1) - 0.017829765)
9,23,0.0001367939,(((x0 * (-0.097635515 * ((((x0 + x4) * -0.048562597) + -0.5246418) + ((x1 + x0) * -1.5624422)))) + x1) * 3.3624957) + -0.017829765,0.006359198827722694,(x0*(-0.097635515)*((x0 + x1)*(-1.5624422) + (x0 + x4)*(-0.048562597) - 0.5246418) + x1)*3.3624957 - 0.017829765,PySRFunction(X=>(x0*(-0.097635515)*((x0 + x1)*(-1.5624422) + (x0 + x4)*(-0.048562597) - 0.5246418) + x1)*3.3624957 - 0.017829765)
10,25,0.00013156603,(x1 + (-0.005439852 + ((x0 * -0.09971929) * ((x1 * 0.2554815) + (((x4 * -0.049122497) + ((x1 + x0) * -1.6735438)) + -0.53455055))))) * 3.3633623,0.01948327934015875,(x0*(-0.09971929)*(x1*0.2554815 + x4*(-0.049122497) + (x0 + x1)*(-1.6735438) - 0.53455055) + x1 - 0.005439852)*3.3633623,PySRFunction(X=>(x0*(-0.09971929)*(x1*0.2554815 + x4*(-0.049122497) + (x0 + x1)*(-1.6735438) - 0.53455055) + x1 - 0.005439852)*3.3633623)
11,29,0.00013013349,3.3633623 * (x1 + (-0.005439852 + ((-0.09971929 * (((x4 * (0.06962042 * (((x4 + 1.442457) * x1) + -0.70557594))) + ((x1 + x0) * -1.6735438)) + -0.53455055)) * x0))),0.0027370212767799567,3.3633623*(-0.09971929*x0*(x4*0.06962042*(x1*(x4 + 1.442457) - 0.70557594) + (x0 + x1)*(-1.6735438) - 0.53455055) + x1 - 0.005439852),PySRFunction(X=>3.3633623*(-0.09971929*x0*(x4*0.06962042*(x1*(x4 + 1.442457) - 0.70557594) + (x0 + x1)*(-1.6735438) - 0.53455055) + x1 - 0.005439852))
12,31,0.00012142426,3.3633623 * (x1 + (-0.005439852 + (((((((1.1397594 + x4) * x1) * 3.1088214) + -0.70557594) * (x4 * 0.06962042)) + (((x0 + x1) * -1.6735438) + -0.53455055)) * (-0.09971929 * x0)))),0.03463503792359926,3.3633623*((((x4 + 1.1397594)*x1*3.1088214 - 0.70557594)*x4*0.06962042 + (x0 + x1)*(-1.6735438) - 0.53455055)*(-0.09971929)*x0 + x1 - 0.005439852),PySRFunction(X=>3.3633623*((((x4 + 1.1397594)*x1*3.1088214 - 0.70557594)*x4*0.06962042 + (x0 + x1)*(-1.6735438) - 0.53455055)*(-0.09971929)*x0 + x1 - 0.005439852))
13,33,0.00012080584,(x1 + ((x0 * (((((x0 + x1) * -1.6735438) + ((x4 * 0.06962042) * (((x4 * ((x4 * 1.308402) + 2.8792562)) * x1) + -0.70557594))) + -0.5298411) * -0.09971929)) + -0.005439852)) * 3.3633623,0.0025530326066615637,(x0*(x4*0.06962042*(x1*x4*(x4*1.308402 + 2.8792562) - 0.70557594) + (x0 + x1)*(-1.6735438) - 0.5298411)*(-0.09971929) + x1 - 0.005439852)*3.3633623,PySRFunction(X=>(x0*(x4*0.06962042*(x1*x4*(x4*1.308402 + 2.8792562) - 0.70557594) + (x0 + x1)*(-1.6735438) - 0.5298411)*(-0.09971929) + x1 - 0.005439852)*3.3633623)
14,35,0.000120450124,3.3633623 * (x1 + ((((-1.6735438 * (x0 + x1)) + ((x4 * (((x4 * (((1.308402 * (x4 + x1)) + 2.8792562) * x1)) + -0.70557594) * 0.06962042)) + -0.54318047)) * (x0 * -0.09971929)) + -0.005439852)),0.001474435084931627,3.3633623*((x4*(x1*x4*(1.308402*(x1 + x4) + 2.8792562) - 0.70557594)*0.06962042 - 1.6735438*(x0 + x1) - 0.54318047)*x0*(-0.09971929) + x1 - 0.005439852),PySRFunction(X=>3.3633623*((x4*(x1*x4*(1.308402*(x1 + x4) + 2.8792562) - 0.70557594)*0.06962042 - 1.6735438*(x0 + x1) - 0.54318047)*x0*(-0.09971929) + x1 - 0.005439852))
15,37,0.000120000965,(x1 + (((((((x0 + x1) * -1.6735438) + ((((x4 * (((((x4 + x1) + x1) * 1.308402) + 2.8792562) * x1)) + -0.70557594) * x4) * 0.06962042)) + -0.54318047) * -0.09971929) * x0) + -0.005439852)) * 3.3633623,0.001867987058391104,(((x1*x4*((x1 + x1 + x4)*1.308402 + 2.8792562) - 0.70557594)*x4*0.06962042 + (x0 + x1)*(-1.6735438) - 0.54318047)*(-0.09971929)*x0 + x1 - 0.005439852)*3.3633623,PySRFunction(X=>(((x1*x4*((x1 + x1 + x4)*1.308402 + 2.8792562) - 0.70557594)*x4*0.06962042 + (x0 + x1)*(-1.6735438) - 0.54318047)*(-0.09971929)*x0 + x1 - 0.005439852)*3.3633623)
