,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.2461024,x1,0.0,x1,PySRFunction(X=>x1)
1,3,0.0012057951,3.3370225 * x1,2.6593042630549903,3.3370225*x1,PySRFunction(X=>3.3370225*x1)
2,5,0.0012057923,(x1 * 3.3371017) + 8.626498e-5,1.16106096762034e-06,x1*3.3371017 + 8.626498e-5,PySRFunction(X=>x1*3.3371017 + 8.626498e-5)
3,7,0.0007352003,(x1 * 3.3359857) + (x0 * 0.09998555),0.247374580569667,x0*0.09998555 + x1*3.3359857,PySRFunction(X=>x0*0.09998555 + x1*3.3359857)
4,9,0.00066271075,((x0 * (x3 * 8.626498e-5)) + x1) * 3.3371017,0.05190217930648932,(x0*x3*8.626498e-5 + x1)*3.3371017,PySRFunction(X=>(x0*x3*8.626498e-5 + x1)*3.3371017)
5,11,0.0004974341,(x0 * ((x0 + 0.48994023) * 0.28965005)) + (x1 * 3.3359857),0.14343776748373163,x0*(x0 + 0.48994023)*0.28965005 + x1*3.3359857,PySRFunction(X=>x0*(x0 + 0.48994023)*0.28965005 + x1*3.3359857)
6,13,0.00030202486,(x1 * 3.3543816) + (x0 * ((x1 + (x0 + 0.4329228)) * 0.34783506)),0.24947687682272465,x0*(x0 + x1 + 0.4329228)*0.34783506 + x1*3.3543816,PySRFunction(X=>x0*(x0 + x1 + 0.4329228)*0.34783506 + x1*3.3543816)
7,15,0.00015354676,((x1 * 3.364692) + ((((x0 + x1) + 0.29965645) * x0) * 0.5245335)) + -0.01693562,0.33825209291110714,(x0 + x1 + 0.29965645)*x0*0.5245335 + x1*3.364692 - 0.01693562,PySRFunction(X=>(x0 + x1 + 0.29965645)*x0*0.5245335 + x1*3.364692 - 0.01693562)
8,17,9.2572314e-05,(x1 * 3.360384) + ((x0 * (((x1 + x0) * 0.5028053) + (x3 * 0.0004215814))) + -0.01565486),0.25300751698974283,x0*(x3*0.0004215814 + (x0 + x1)*0.5028053) + x1*3.360384 - 0.01565486,PySRFunction(X=>x0*(x3*0.0004215814 + (x0 + x1)*0.5028053) + x1*3.360384 - 0.01565486)
9,19,7.793758e-05,((((x0 * 0.5187734) + 0.039131783) * (((x3 * 0.0006540571) + x1) + x0)) + (x1 * 3.324954)) + -0.025511898,0.08604093108139646,x1*3.324954 + (x0*0.5187734 + 0.039131783)*(x0 + x1 + x3*0.0006540571) - 0.025511898,PySRFunction(X=>x1*3.324954 + (x0*0.5187734 + 0.039131783)*(x0 + x1 + x3*0.0006540571) - 0.025511898)
10,21,7.7893084e-05,((((x0 * 0.5187734) + 0.039131783) * ((((x3 + x0) * 0.0006540571) + x1) + x0)) + (x1 * 3.324954)) + -0.025511898,0.0002855407277819617,x1*3.324954 + (x0*0.5187734 + 0.039131783)*(x0 + x1 + (x0 + x3)*0.0006540571) - 0.025511898,PySRFunction(X=>x1*3.324954 + (x0*0.5187734 + 0.039131783)*(x0 + x1 + (x0 + x3)*0.0006540571) - 0.025511898)
11,25,7.318779e-05,-0.02009131 + (((x0 * (0.056507844 + (x0 * 0.5980503))) + (x0 * ((x1 * 0.47194037) + (x3 * 0.00030863893)))) + ((x1 + x1) * 1.6804979)),0.015577141168078382,x0*(x1*0.47194037 + x3*0.00030863893) + x0*(x0*0.5980503 + 0.056507844) + (x1 + x1)*1.6804979 - 0.02009131,PySRFunction(X=>x0*(x1*0.47194037 + x3*0.00030863893) + x0*(x0*0.5980503 + 0.056507844) + (x1 + x1)*1.6804979 - 0.02009131)
12,27,7.31772e-05,(x0 * (((x3 + -1.5486176) * 0.00030863893) + (x1 * 0.47194037))) + (((x0 * ((x0 * 0.5980503) + 0.056507844)) + ((x1 + x1) * 1.6804979)) + -0.02009131),7.235336823711779e-05,x0*(x1*0.47194037 + (x3 - 1.5486176)*0.00030863893) + x0*(x0*0.5980503 + 0.056507844) + (x1 + x1)*1.6804979 - 0.02009131,PySRFunction(X=>x0*(x1*0.47194037 + (x3 - 1.5486176)*0.00030863893) + x0*(x0*0.5980503 + 0.056507844) + (x1 + x1)*1.6804979 - 0.02009131)
13,29,4.9782513e-05,(((x0 * x0) * 0.5873348) + -0.019511763) + (((x0 * ((x3 * 0.00026195505) + (x1 * 0.56856096))) + (x1 + x1)) * (((x3 * x0) * -0.0007233573) + 1.6818327)),0.19261005962614436,x0*x0*0.5873348 + (x3*x0*(-0.0007233573) + 1.6818327)*(x0*(x1*0.56856096 + x3*0.00026195505) + x1 + x1) - 0.019511763,PySRFunction(X=>x0*x0*0.5873348 + (x3*x0*(-0.0007233573) + 1.6818327)*(x0*(x1*0.56856096 + x3*0.00026195505) + x1 + x1) - 0.019511763)
14,31,3.1660205e-05,(((x0 * 0.6068908) + 0.05845377) * x0) + (((((x3 * -0.00073022896) * x0) + 1.6819277) * (((((x3 * 0.00017998535) + (x1 * 0.57124376)) * x0) + x1) + x1)) + -0.019448051),0.2263016241536595,x0*(x0*0.6068908 + 0.05845377) + (x3*(-0.00073022896)*x0 + 1.6819277)*(x0*(x1*0.57124376 + x3*0.00017998535) + x1 + x1) - 0.019448051,PySRFunction(X=>x0*(x0*0.6068908 + 0.05845377) + (x3*(-0.00073022896)*x0 + 1.6819277)*(x0*(x1*0.57124376 + x3*0.00017998535) + x1 + x1) - 0.019448051)
